,Season,Team,wRC+
0,2015,TOR,117.35095865831218
1,2015,SFG,103.71527784787013
2,2015,LAD,106.1768019472985
3,2015,HOU,108.3534808187096
4,2015,CHC,95.7359956959924
5,2015,NYM,98.20567202214782
6,2015,PIT,97.18881497946072
7,2015,STL,96.9993306177189
8,2015,KCR,98.95791103831975
9,2015,TEX,97.70440317974402
10,2015,ARI,95.1943723691198
11,2015,NYY,103.13816857254912
12,2015,TBR,99.63577460882611
13,2015,CLE,96.69957104587176
14,2015,BOS,99.08258647830714
15,2015,WSN,96.17412289905805
16,2015,BAL,97.29874613214395
17,2015,SEA,100.38156100275901
18,2015,DET,102.73916298450375
19,2015,LAA,94.60963842891138
20,2015,CIN,91.39510130152456
21,2015,SDP,90.31680758178334
22,2015,MIA,90.57497159154204
23,2015,MIL,87.37528504842626
24,2015,MIN,89.2825347578927
25,2015,OAK,95.37744757722896
26,2015,ATL,84.02293141411123
27,2015,COL,86.52341723950487
28,2015,PHI,86.08281268851131
29,2015,CHW,88.78211861518737
30,2016,CHC,105.68011488575459
31,2016,BOS,113.1168564814419
32,2016,STL,104.73229914658083
33,2016,HOU,101.14884724421513
34,2016,TOR,104.17564224604266
35,2016,CLE,99.86591869020894
36,2016,SFG,95.88427328748742
37,2016,SEA,107.81764745719127
38,2016,LAD,97.16840027628403
39,2016,PIT,97.49770169693919
40,2016,WSN,95.80994986895827
41,2016,BAL,102.79992237920983
42,2016,COL,94.18217250872179
43,2016,NYM,98.8180089101763
44,2016,MIA,94.50379960910752
45,2016,DET,106.01200469298831
46,2016,TBR,98.26230000559107
47,2016,LAA,98.58401905750242
48,2016,ARI,92.56060451838776
49,2016,TEX,94.68234404521469
50,2016,MIL,91.92451780651494
51,2016,CHW,96.66602307870603
52,2016,MIN,95.20512138597486
53,2016,NYY,91.76198787306737
54,2016,KCR,89.11394315751848
55,2016,ATL,86.49265103928539
56,2016,CIN,88.7466054359402
57,2016,SDP,84.23387257287017
58,2016,PHI,81.26813026941497
59,2016,OAK,89.24634408128958
60,2017,HOU,121.1465841589379
61,2017,LAD,104.41492208266932
62,2017,NYY,109.11516520558312
63,2017,CLE,104.93688251341061
64,2017,MIN,103.3050539148667
65,2017,CHC,101.4713639153504
66,2017,MIA,101.05127458579793
67,2017,STL,100.82343544838783
68,2017,WSN,98.85100704619401
69,2017,SEA,102.63801820948285
70,2017,MIL,93.65478278180737
71,2017,CIN,94.7978608106359
72,2017,ARI,95.0551164890148
73,2017,NYM,100.53948041813008
74,2017,TBR,98.68401630341593
75,2017,OAK,103.38158439897482
76,2017,LAA,91.67240520465116
77,2017,BOS,91.27081238370329
78,2017,CHW,95.43070527597284
79,2017,COL,87.53267692565302
80,2017,ATL,88.6037454133964
81,2017,KCR,90.9000552641275
82,2017,DET,97.65632065431785
83,2017,BAL,95.2556782184123
84,2017,PHI,87.36256843624749
85,2017,PIT,85.1113254546923
86,2017,TEX,89.93847647179412
87,2017,SDP,81.84878360358164
88,2017,SFG,82.68551585432725
89,2017,TOR,92.59362739340992
90,2018,LAD,111.35884330681222
91,2018,HOU,109.78415102705306
92,2018,BOS,110.53103533699243
93,2018,OAK,111.91879528591772
94,2018,NYY,111.8128603584207
95,2018,MIL,99.94810876270067
96,2018,TBR,106.63103320623136
97,2018,CLE,105.54291180077489
98,2018,CHC,100.185167702934
99,2018,ATL,95.9974407579497
100,2018,WSN,100.84317769261807
101,2018,LAA,97.76593161445174
102,2018,ARI,88.33135299132043
103,2018,SEA,99.85665781339685
104,2018,PIT,94.87276257458588
105,2018,STL,99.35458909311679
106,2018,CIN,94.44573314425624
107,2018,MIN,95.83090280595904
108,2018,NYM,93.99609225027963
109,2018,TOR,99.6802567478785
110,2018,COL,88.3115484335345
